PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2015,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2016,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2017,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2018,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2019,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2020,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2021,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2022,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2023,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2024,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2025,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2026,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2027,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2028,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2029,,,,,,99999
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2030,,,,,,1.354
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2031,,,,,,1.3341
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2032,,,,,,1.3142
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2033,,,,,,1.2943
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2034,,,,,,1.2744
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2035,,,,,,1.2545
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2036,,,,,,1.2346
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2037,,,,,,1.2147
AnnualEmissionLimit,BAU,CR,,,CO2e_HeavyCargo,,2038,,,,,,1.1948
